"","cmt1","cmt2","cmt3","cmt4","cmt5","cmt6","cmt7","cmt8","cmt9","cmt10","cmt11","cmt12","cmt13","cmt14","cmt15","cmt16","cmt17","cmt18","cmt19","cmt20","cmt21","cmt22","cmt23","cmt24","cmt25","cmt26"
"TCGA-2J-AABE-01A",0.214794046951895,0.292208071825492,0.11209446805424,-0.302936575576676,0.250769126955032,-0.0546788750467792,0.272826573208519,0.210764548078956,0.298667381814123,-0.347717806812444,0.254034499226726,-0.847847033038091,0.398520580052821,-0.227106683974094,-0.261908500545654,-0.108171407334067,0.276974661003616,-0.630742770522045,-0.288064190234288,0.216998130418979,0.228934257126375,-0.292871291095398,-0.33883720627322,-0.103589380917081,0.191041197448167,-0.219046259714012
"TCGA-IB-7889-01A",0.25535791111836,0.277543277194325,0.180436095514167,-0.315056137584898,0.196054923920439,-0.14273645817953,0.243860074117046,0.382388517857795,0.203733671529942,-0.319080058971269,0.235469745743268,-0.744955826194679,0.614228299951372,-0.217110661449311,-0.302460324577488,-0.172531513112393,0.28454737209102,-0.217245341727926,-0.279593666926169,0.209686827506061,0.229605059331837,-0.325940577532003,-0.305556051111263,-0.0793147908973112,0.32932028901945,-0.297800827843059
"TCGA-IB-A6UF-01A",0.208333093895621,0.323111067096254,0.18091454348912,-0.278500450426049,0.35988070741443,0.120083986684176,0.291403111346748,0.116189828071836,0.358758500446849,-0.295270374995907,0.126670920501933,-0.302451262941837,-0.289457952007347,-0.0728787067117981,3.41601390079825,-0.0467075724036657,0.337050866192511,0.0505189866406401,-0.538217214251289,0.187894350943624,0.238294627732281,2.78817358857257,-0.253047989824299,-0.15062514694403,0.276094413471836,-0.306062140596881
"TCGA-F2-A8YN-01A",0.172226692066063,0.284981571850944,0.104845062871008,-0.277333485604022,0.28057434587207,0.00841194535013982,0.273329128361207,0.113525068023735,0.308592832429086,-0.302948084867302,-3.43976580230315,-0.700186593030577,0.139207055654093,-0.208758583731162,-0.257655547895161,-0.0758410318828893,0.283256805199503,-0.310617868484404,-0.405957386528667,0.233301734760754,0.222975374120355,-0.123180024649219,-0.423382760462704,-0.123160373394977,0.239642979467432,-0.227936759599763
"TCGA-F2-A44H-01A",0.320397887472724,0.29066576134933,0.183359706637109,-0.532030204295111,0.170023358443894,-0.404949732179542,0.259540231486662,0.320778052660029,0.172311394295003,-0.0590481010962847,0.372557683550978,-0.29677191550307,0.466767097849555,-0.529455689157647,-0.364995435058414,-0.279165776247486,0.219533625212115,0.0756886533075407,-0.146755444036696,0.175522479368021,0.213763503614854,-0.435570799126564,-0.156425451962585,-0.0582390671861066,0.267082772041217,-0.278997664648278
"TCGA-YH-A8SY-01A",0.205898499515459,0.269002108379106,0.236461426024736,-0.356357276342156,0.176031209216686,0.00360921393946415,0.257023568137742,0.107915232586266,0.0893033367691979,-0.235039731116254,0.374624623690535,-0.468103867256685,-0.199630906603599,-0.0138717139277554,-0.342257582340208,-0.123457748088768,0.251190500671976,-0.97901354570386,-0.123337950433867,0.249534936997989,0.206198730276165,-0.257948496013258,-0.314576473307479,-0.0885761795026045,0.233625069559446,-0.118278743063467
"TCGA-3A-A9IC-01A",0.208497132576447,0.276389311819629,0.221853093662453,-0.315698636603458,0.218080421805627,-0.0734513494240199,0.269309265293442,0.292313735250332,0.132042410128183,-0.231647079358952,0.327355962174915,-0.348920001277633,0.339009680647821,2.83861904553243,-0.3551671776769,-0.116862839470648,0.228835266363992,-0.561291516634097,-0.137941603570497,0.23729150964143,0.213243524004319,-0.334581668009814,-0.215202247468946,-0.0951458427159163,0.20495234402842,-0.180124015533474
"TCGA-HZ-A4BK-01A",0.268246475225235,0.306624650708576,0.160308603242977,-0.356452582107674,0.221848332425518,-0.292400828029606,0.278056920744838,0.345004766044344,0.308280265490014,-0.21523909054265,0.206965819482387,-0.395449355361059,0.710492726944157,-0.155683131285585,-0.308809381244155,-0.227682673635799,0.265966656193633,-0.448807954492814,-0.369270883621493,0.197649144144945,0.227199264008067,-0.233896049659041,-0.31454079492221,-0.0908505870704253,0.195764480755893,-0.258209564076929
"TCGA-Z5-AAPL-01A",0.299136094147433,0.241511084846765,0.241703698083483,-0.447172945119275,0.124366433917095,-0.402033801266336,0.128436335456235,0.351804461459301,0.109654307224403,-0.152643875425869,0.333702689644775,0.32575471526728,0.646635250043041,-0.211542486699863,-0.277686163170461,-0.109412878017886,0.285306675274213,0.217603667478277,4.46109690967773,0.269222636837701,0.184778363296245,-0.34758685990923,-0.168490895563923,-0.0346578780568077,0.264417146710164,-0.174762489441436
"TCGA-H6-A45N-01A",0.318916924293385,0.240534607344971,0.190645400637255,-0.339544944564912,0.117847292022232,-0.563153261173197,0.246210378711935,0.357188047070439,0.12960907680654,-0.14233766434713,0.342305882918307,-0.307524802015903,0.454236437726464,-0.445140710123098,-0.364759411389953,-0.221399887307445,0.241795869158257,0.0603056960120052,-0.147844234786959,0.203144276102496,0.217663051660233,-0.652947212330368,-0.168418241034547,-0.0411159384409201,0.194208271109436,-0.237615616782981
